compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
20651157,22684151,22684151,8,0.1530377864837646,0.0001382827758789
2938735,2984606,2984606,8,0.0231754779815673,0.000331163406372
24053483,129908394,129908394,8,0.6255025863647461,0.0001618862152099
10071282,10914583,10914583,8,0.0769591331481933,0.0001795291900634
4663741,5377840,5377840,8,0.0354928970336914,9.41753387451172e-05
2455200,2578727,2578727,8,0.019719123840332,0.0001852512359619
15464647,117872796,117872796,8,0.5162901878356934,0.0004796981811523
6318275,50905368,50905368,8,0.2263603210449218,0.0004777908325195
747566,6999740,6999740,8,0.0290358066558837,0.0001277923583984
2838542,3007049,3007049,8,0.0228466987609863,0.000173807144165
14704097,15734953,15734953,8,0.1051971912384033,0.0001039505004882
28160955,142400848,142400848,8,0.717454195022583,0.0004944801330566
3476140,3756091,3756091,8,0.0259425640106201,9.298324584960938e-05
3916259,4263224,4263224,8,0.0287396907806396,9.250640869140624e-05
7551249,35640464,35640464,8,0.1892049312591552,0.0004603862762451
2206807,2341131,2341131,8,0.0167713165283203,9.179115295410156e-05
9781878,11218805,11218805,8,0.0777273178100586,0.0001778602600097
33998890,37110902,37110902,8,0.2535164356231689,0.0002069473266601
1357244,1475987,1475987,8,0.0102550983428955,9.107589721679688e-05
1998943,12687744,12687744,8,0.0658140182495117,0.0004339218139648
6757895,31747056,31747056,8,0.1734020709991455,0.0004425048828125
280293,305899,305899,8,0.0024616718292236,9.03606414794922e-05
31396622,195638558,195638558,8,0.9217972755432128,0.0004632472991943
1109068,4915802,4915802,8,0.0266764163970947,0.0001559257507324
15324961,117872796,117872796,8,0.515728235244751,0.0004646778106689
10808316,11820457,11820457,8,0.0830810070037841,0.000180959701538
4011581,29767616,29767616,8,0.1362764835357666,0.0004539489746093
347993,363361,363361,8,0.0029020309448242,9.083747863769533e-05
4293480,19641372,19641372,8,0.1007108688354492,0.0001413822174072
678169,3047297,3047297,8,0.0285999774932861,0.0006890296936035
22876210,200692504,200692504,8,0.8572525978088379,0.0004770755767822
1435268,1637975,1637975,8,0.0121643543243408,9.226799011230467e-05
100194,204171,204171,8,0.0046613216400146,0.000237226486206
209847,1746594,1746594,8,0.0082979202270507,0.0001270771026611
659381,4037234,4037234,8,0.0202786922454834,0.0001270771026611
1326139,8026784,8026784,8,0.0388486385345459,0.0001397132873535
347998,363628,363628,8,0.0028905868530273,9.131431579589844e-05
66173,547391,547391,8,0.0035510063171386,0.0001380443572998
26118854,203063992,203063992,8,0.9084751605987548,0.0004894733428955
17911062,202749226,202749226,8,0.8083052635192871,0.0004851818084716
9669229,64964772,64964772,8,0.296316385269165,0.0001657009124755
1819038,1958982,1958982,8,0.0146899223327636,9.179115295410156e-05
1899233,7149244,7149244,8,0.0424616336822509,0.0001275539398193
5087391,50749016,50749016,8,0.2126893997192382,0.000462532043457
5799137,6295829,6295829,8,0.0466353893280029,0.0001845359802246
30222113,35493962,35493962,8,0.29241943359375,0.0003225803375244
35709350,40515417,40515417,8,0.2921316623687744,0.000227928161621
2832138,2999782,2999782,8,0.0227701663970947,0.0001819133758544
19560839,128333994,128333994,8,0.5796952247619629,0.0001745223999023
949563,6921282,6921282,8,0.0313200950622558,0.0001266002655029
4808973,4807669,4807669,0,0.0113251209259033,0.0001323223114013
23766208,26087637,26087637,8,0.1817052364349365,0.0002250671386718
6569275,6916511,6916511,8,0.0483484268188476,9.27448272705078e-05
40975095,46360565,46360565,8,0.3193652629852295,0.0002243518829345
32929198,36060001,36060001,8,0.2498993873596191,0.0002188682556152
35727072,40539703,40539703,8,0.278186559677124,0.0002205371856689
5352141,5851960,5851960,8,0.0424890518188476,0.0001726150512695
17209120,19295042,19295042,8,0.1293635368347168,0.0001144409179687
3585500,12950610,12950610,8,0.083047866821289,0.0004270076751708
283597,308763,308763,8,0.0024900436401367,8.916854858398438e-05
18206663,202749226,202749226,8,0.7880399227142334,0.0004880428314208
4192518,29270846,29270846,8,0.1394524574279785,0.0004749298095703
6750541,31747056,31747056,8,0.1755430698394775,0.0004899501800537
1466368,1580739,1580739,8,0.0111124515533447,9.107589721679688e-05
26177449,203063992,203063992,8,0.8967158794403076,0.0004923343658447
64847,206273,206273,8,0.0041263103485107,0.0002403259277343
7028382,8506993,8506993,8,0.0589442253112793,0.0001735687255859
8763994,58195084,58195084,8,0.2748897075653076,0.0005021095275878
414395,1840337,1840337,8,0.0186231136322021,0.0005030632019042
17364612,18189938,18189938,8,0.1289267539978027,0.0001988410949707
3375951,12535588,12535588,8,0.0794353485107421,0.0004637241363525
8288478,9279048,9279048,8,0.0654168128967285,0.0001869201660156
1060563,1141897,1141897,8,0.0078406333923339,9.012222290039062e-05
2303721,2403691,2403691,8,0.0187296867370605,0.0001721382141113
2430749,2531431,2531431,8,0.0173242092132568,9.03606414794922e-05
26561685,175133528,175133528,8,0.8163855075836182,0.0004808902740478
4314197,28067904,28067904,8,0.1295650005340576,0.000157356262207
12542411,50170060,50170060,8,0.293724775314331,0.0004830360412597
37613506,40482146,40482146,8,0.2850687503814697,0.0002169609069824
2213433,12263426,12263426,8,0.0677602291107177,0.0004262924194335
2191997,12263426,12263426,8,0.0658769607543945,0.000472068786621
2447207,2570341,2570341,8,0.0196194648742675,0.0001718997955322
27072555,148519901,148519901,8,0.8284206390380859,0.000262975692749
2757777,15553178,15553178,8,0.0765771865844726,0.000145673751831
10119477,10964825,10964825,8,0.0768864154815673,0.0001814365386962
7506971,35640464,35640464,8,0.1958036422729492,0.0005247592926025
6201517,50180194,50180194,8,0.2911055088043213,0.0005755424499511
4270252,4420709,4420709,8,0.0388424396514892,0.0002055168151855
4336755,4488133,4488133,8,0.0389223098754882,0.0001935958862304
13976687,110690628,110690628,8,0.5072824954986572,0.0001757144927978
1233794,1366028,1366028,8,0.0100679397583007,9.202957153320312e-05
1118802,4378780,4378780,8,0.0262544155120849,0.0001275539398193
24749480,126849688,126849688,8,0.6851255893707275,0.000481367111206
4035835,24156224,24156224,8,0.1162712574005127,0.0001454353332519
5546476,6048792,6048792,8,0.0446107387542724,0.0001773834228515
20632193,124976288,124976288,8,0.6250357627868652,0.0004808902740478
32104567,232612732,232612732,8,1.0658564567565918,0.0004858970642089
5546963,6048413,6048413,8,0.0449309349060058,0.0001864433288574
20673639,21679110,21679110,8,0.1507050991058349,0.0001156330108642
24374076,25523706,25523706,8,0.1799585819244384,0.0001275539398193
40892092,46258897,46258897,8,0.3143329620361328,0.0002110004425048
1812734,1953383,1953383,8,0.0141315460205078,9.393692016601562e-05
1327221,5056954,5056954,8,0.0291724205017089,0.0001275539398193
1455893,12663700,12663700,8,0.058882713317871,0.0004241466522216
857616,924318,924318,8,0.0064904689788818,9.250640869140624e-05
207456,1746594,1746594,8,0.0082714557647705,0.0001356601715087
594126,611977,611977,8,0.0047063827514648,9.179115295410156e-05
951812,6921282,6921282,8,0.0300586223602294,0.0001294612884521
9478879,10368099,10368099,8,0.0719931125640869,0.0001776218414306
414371,1840174,1840174,8,0.018263816833496,0.0005154609680175
3713919,4320075,4320075,8,0.0283913612365722,9.322166442871094e-05
7106481,27660608,27660608,8,0.1539537906646728,0.0001440048217773
20447,27542,27542,8,0.0012805461883544,0.0001275539398193
8862287,58195084,58195084,8,0.2698800563812256,0.0004630088806152
2242768,3555862,3555862,0,0.0492610931396484,0.0018661022186279
12552042,62209188,62209188,8,0.3089568614959717,0.0001618862152099
2008702,2122722,2122722,8,0.016620397567749,0.0001869201660156
3250188,3615929,3615929,8,0.0240435600280761,0.0001072883605957
678523,3050840,3050840,8,0.0284497737884521,0.0007102489471435
16698037,17520296,17520296,8,0.1222281455993652,0.0001893043518066
1991557,2104996,2104996,8,0.0163733959197998,0.0001728534698486
477151,474753,474753,0,0.0022230148315429,0.0001499652862548
661828,665499,665499,8,0.0031065940856933,9.226799011230467e-05
34005257,37104287,37104287,8,0.2533395290374756,0.0002110004425048
5155219,20224288,20224288,8,0.1111955642700195,0.0001392364501953
12721842,50170060,50170060,8,0.2891008853912353,0.0004782676696777
678168,3047298,3047298,8,0.0291876792907714,0.0006923675537109
24283747,25434446,25434446,8,0.1737532615661621,0.0001232624053955
2479476,2602850,2602850,8,0.0201866626739501,0.0001757144927978
5434519,5778429,5778429,8,0.0393760204315185,0.0001046657562255
15366341,117872796,117872796,8,0.5149457454681396,0.0005569458007812
279879,294696,294696,8,0.002392292022705,9.131431579589844e-05
8776106,58195084,58195084,8,0.2735683917999267,0.0004618167877197
7050825,43868824,43868824,8,0.210503339767456,0.0004994869232177
10034910,10878232,10878232,8,0.076416015625,0.0001802444458007
31863855,146626992,146626992,8,0.7760417461395264,0.0005204677581787
4028430,24156224,24156224,8,0.1126048564910888,0.0001559257507324
5780815,54338746,54338746,8,0.2846245765686035,0.0036892890930175
2611461,2777814,2777814,8,0.0214195251464843,0.0001916885375976
12075217,13109377,13109377,8,0.0937986373901367,0.0001826286315917
1358842,1477579,1477579,8,0.0102560520172119,9.298324584960938e-05
1896637,10988122,10988122,8,0.0580241680145263,0.000460147857666
4369480,17496384,17496384,8,0.0958170890808105,0.000131607055664
2376080,2477200,2477200,8,0.0190672874450683,0.0002005100250244
4551930,4704968,4704968,8,0.0344877243041992,0.0001728534698486
756039,6999740,6999740,8,0.0281319618225097,0.000126838684082
7486765,8096674,8096674,8,0.0562071800231933,0.0001769065856933
28051858,31238840,31238840,8,0.2092094421386718,0.0002107620239257
28056998,31242048,31242048,8,0.2103431224822998,0.0002059936523437
14027677,110690628,110690628,8,0.464489221572876,0.0001633167266845
1937801,2118143,2118143,8,0.0166327953338623,0.0001752376556396
3256256,15553178,15553178,8,0.0801904201507568,0.0001413822174072
20262982,80856292,80856292,8,0.4600512981414795,0.000178575515747
3020913,16525384,16525384,8,0.0838501453399658,0.000131607055664
5017207,50749016,50749016,8,0.2147374153137207,0.0005125999450683
17680397,202749226,202749226,8,0.8003826141357422,0.0004715919494628
4229699,29270846,29270846,8,0.1411347389221191,0.0005178451538085
4063385,4494891,4494891,8,0.0331010818481445,0.0001189708709716
25024372,203493208,203493208,8,0.8891925811767578,0.0005416870117187
16523605,17344674,17344674,8,0.1216955184936523,0.0001935958862304
3376493,12535588,12535588,8,0.0794041156768798,0.0004351139068603
32623638,37941310,37941310,8,0.2553584575653076,0.0002110004425048
27953422,142400848,142400848,8,0.7163512706756592,0.0004677772521972
268774,1515480,1515480,8,0.0083415508270263,0.0001306533813476
1807935,6919884,6919884,8,0.0402886867523193,0.0001399517059326
20648204,23397374,23397374,8,0.1577415466308593,0.0002195835113525
10748087,11753560,11753560,8,0.0823159217834472,0.0001966953277587
25045986,29808501,29808501,8,0.1986005306243896,0.000211477279663
32347,117923,117923,8,0.0018312931060791,0.0001428127288818
7161050,50797156,50797156,8,0.2321505546569824,0.0004611015319824
147346,363859,363859,8,0.0137948989868164,0.0007259845733642
6996875,43868824,43868824,8,0.2104995250701904,0.0004758834838867
1903861,5048325,5048325,8,0.0399155616760253,0.0001871585845947
3681715,4292624,4292624,8,0.0280418395996093,9.369850158691406e-05
3988582,29767616,29767616,8,0.1356735229492187,0.0004479885101318
3252629,17237984,17237984,8,0.0845880508422851,0.0001344680786132
12007770,13093251,13093251,8,0.0862374305725097,9.965896606445312e-05
16284823,119809938,119809938,8,0.5288379192352295,0.0004780292510986
19643516,128333994,128333994,8,0.5715768337249756,0.0001616477966308
4451,32135,32135,8,0.0011708736419677,0.000140905380249
10556494,62209188,62209188,8,0.2890448570251465,0.0001740455627441
1031161,7006380,7006380,8,0.0320768356323242,0.000145673751831
1443912,12663700,12663700,8,0.0579524040222168,0.0004274845123291
1545742,1678274,1678274,8,0.0115363597869873,9.298324584960938e-05
6365701,16951345,16951345,8,0.1233439445495605,0.0002274513244628
20610164,124976288,124976288,8,0.5986292362213135,0.0004920959472656
3543932,12950610,12950610,8,0.0820662975311279,0.000436782836914
24775053,126849688,126849688,8,0.6540031433105469,0.0004799365997314
25139016,26164146,26164146,8,0.1768305301666259,0.0001306533813476
1999233,12687744,12687744,8,0.0657696723937988,0.0004680156707763
31067915,195638558,195638558,8,0.9151113033294678,0.000490665435791
7044805,43868824,43868824,8,0.2096176147460937,0.0004858970642089
6510200,31747056,31747056,8,0.1715705394744873,0.0005116462707519
1606807,8122784,8122784,8,0.0433225631713867,0.0001287460327148
1930091,10988122,10988122,8,0.0582137107849121,0.0004587173461914
1857614,7943818,7943818,8,0.0494980812072753,0.0004234313964843
2377382,2477331,2477331,8,0.0190310478210449,0.0001757144927978
1446971,12663700,12663700,8,0.0573630332946777,0.0004353523254394
31889160,146626992,146626992,8,0.7701661586761475,0.0004870891571044
490701,1786168,1786168,8,0.01133394241333,0.0001261234283447
23134353,200692504,200692504,8,0.8356294631958008,0.0004796981811523
1030608,6050748,6050748,8,0.0296189785003662,0.0001275539398193
30443266,35722857,35722857,8,0.239206314086914,0.0002071857452392
8291622,9289409,9289409,8,0.0652236938476562,0.0001778602600097
26544277,65348440,65348440,8,0.3983244895935058,0.0010008811950683
414520,1840177,1840177,8,0.0185027122497558,0.0004961490631103
5243211,5876494,5876494,8,0.0395312309265136,9.250640869140624e-05
373223,395892,395892,8,0.0030639171600341,9.083747863769533e-05
23791617,26113949,26113949,8,0.1854112148284912,0.0002188682556152
6544374,6956410,6956410,8,0.0503346920013427,9.512901306152344e-05
467448,1728924,1728924,8,0.0109639167785644,0.000129222869873
26363084,175133528,175133528,8,0.8122851848602295,0.000474214553833
7478577,35640464,35640464,8,0.1899151802062988,0.0004634857177734
9625883,64964772,64964772,8,0.2860007286071777,0.0001642704010009
13834524,14903145,14903145,8,0.1076345443725586,0.0002052783966064
1112965,7021306,7021306,8,0.0323989391326904,0.0001280307769775
24474653,25416962,25416962,8,0.1928660869598388,0.0001769065856933
7494900,35640464,35640464,8,0.1884839534759521,0.0004634857177734
10720497,11726753,11726753,8,0.0829191207885742,0.0001921653747558
8517189,36663816,36663816,8,0.2023196220397949,0.0004713535308837
12061395,13143900,13143900,8,0.0880930423736572,0.0001170635223388
20497547,112761440,112761440,8,0.5775659084320068,0.0004699230194091
5562387,31251156,31251156,8,0.1617612838745117,0.0004701614379882
17540925,18378307,18378307,8,0.1295289993286132,0.0001957416534423
223934,1076576,1076576,8,0.0067851543426513,0.0001275539398193
4507059,4658225,4658225,8,0.0346314907073974,0.0001749992370605
12538748,50170060,50170060,8,0.2904489040374756,0.0004680156707763
30849705,36245021,36245021,8,0.2463419437408447,0.0002295970916748
1332166,8026784,8026784,8,0.0389509201049804,0.0001282691955566
37277275,40135453,40135453,8,0.278461217880249,0.000209093093872
30168930,35437152,35437152,8,0.2391648292541504,0.0002098083496093
7446837,8052274,8052274,8,0.0569005012512207,0.0002079010009765
3531823,12950610,12950610,8,0.081780195236206,0.0004382133483886
7123226,8602293,8602293,8,0.0584568977355957,0.0001859664916992
20285542,60398656,60398656,8,0.5568735599517822,0.0091145038604736
1441880,1571221,1571221,8,0.0115892887115478,9.441375732421876e-05
31011427,195638558,195638558,8,0.9396963119506836,0.0004937648773193
